#TYPE Selected.Microsoft.PowerShell.Commands.LocalUser
"Name";"FullName";"SID";"LastLogon"
"bellan";"Anna Bella";"S-1-5-21-4035033858-2503453704-1028635854-1029";
"DefaultAccount";"";"S-1-5-21-4035033858-2503453704-1028635854-503";
"J?rjestelm?nvalvoja";"";"S-1-5-21-4035033858-2503453704-1028635854-500";
"nackni";"Nicke Nackerstrom";"S-1-5-21-4035033858-2503453704-1028635854-1030";
"OMISTAJA";"";"S-1-5-21-4035033858-2503453704-1028635854-1001";"12.10.2022 8.40.21"
"russja";"Jack Russell";"S-1-5-21-4035033858-2503453704-1028635854-1028";
"Vieras";"";"S-1-5-21-4035033858-2503453704-1028635854-501";
"WDAGUtilityAccount";"";"S-1-5-21-4035033858-2503453704-1028635854-504";
